SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
7,MCCBlue,808,10,1
7,MHHBlack,1341,10,1
7,FAPurple,886,11,0
7,FAPurple,961,12,0
7,FBPurple,1041,13,0
7,FEEBlue,807,13,0
7,MCCBlue,704,13,1
7,FHPurple,1041,14,0
8,MBBRed,1001,1,1
8,FEEBlack,928,2,0
8,FEEBlack,1080,3,0
8,MCCBlue,891,3,1
8,FEEBlack,925,4,0
8,FHHBlack,1003,4,0
8,MCCBlue,889,4,1
8,FDDBlack,1079,5,0
8,FEEBlack,966,5,0
8,MCCBlue,807,5,1
8,FHHBlack,1006,7,0
8,MCCBlue,807,7,1
8,FEEBlack,1080,8,0
8,FABlue,667,10,0
8,FHHBlack,962,10,0
9,FEEBlack_1,1043,2,0
9,MCCBlue_1,771,2,1
9,MCCBlue_1,1006,4,1
9,FAABlue_1,668,5,0
9,FDDBlack_1,1043,5,0
9,MAAYellow_1,1043,5,1
9,MCCBlue_1,927,5,1
9,FDDRed ,847,6,0
9,FEEBlack_1,1080,6,0
9,MAAYellow_1,1080,6,1
9,MCCBlue_1,847,6,1
9,MEERed_1,769,6,1
9,FAABlue_1,667,7,0
9,FDDBlack_1,1042,7,0
9,FDDBlack_1,1042,8,0
9,FIIIBlack,1042,9,0
9,MEERed_1,1080,9,1
10,FARed21,848,1,0
10,FBRed21,852,1,0
10,MARed21,848,1,1
10,MBRed21,852,1,1
10,MCRed21,852,1,1
10,FBRed21,890,2,0
10,FCCCWhite,1004,2,0
10,MCRed21,890,2,1
10,FBRed21,966,3,0
10,FCYellow21,889,3,0
10,MARed21,966,3,1
10,FBRed21,778,6,0
10,FCCCWhite,966,6,0
10,MBRed21,769,7,1
10,FCCCWhite,1004,9,0
10,FDYellow21,692,9,0
10,MARed21,811,10,1
10,FBRed21,810,11,0
10,FCCCWhite,966,11,0
10,FDYellow21,768,11,0
10,MARed21,929,11,1
10,FARed21,849,13,0
10,MCRed21,769,14,1
10,FDYellow21,730,15,0
10,FCCCWhite,1004,16,0
10,MARed21,998,16,1
10,FCCCWhite,966,17,0
10,FCCCWhite,966,18,0
10,FCYellow21,965,18,0
10,FCCCWhite,1004,19,0
10,FCYellow21,968,19,0
10,FCCCWhite,1042,23,0
10,FCYellow21,890,23,0
10,MEBlue21,928,23,1
10,FARed21,962,28,0
10,FCCCWhite,926,28,0
10,FCYellow21,1040,28,0
10,MARed21,1000,28,1
10,FARed21,1004,29,0
10,FCYellow21,1041,29,0
10,FCYellow21,1041,30,0
10,MBRed21,851,30,1
10,FARed21,767,31,0
10,FBRed21,591,34,0
10,MARed21,629,34,1
10,MFBlue21,629,34,1
10,FCCCWhite,1004,35,0
10,FARed21,960,37,0
10,FDDRed,922,37,0
10,MBRed21,666,37,1
10,FARed21,847,39,0
10,FCYellow21,1004,39,0
