"Title: Habitat and predator heterogeneity influence density of a declining mammal. Habitat composition (2015–2022) used in the density modelling of hedgehogs at Brackenhurst, Southwell, England. X and Y indicate the longitude/1000 and latitude/1000 (EPSG:27700) of the centroid of the 50 x 50 m grid cell, respectively; d2build and d2badger indicate euclidean distance (m) from the centroid of the 50 x 50 m grid cell to the nearest building and to the nearest badger sett, respectively; edge_length refers to edge density, the total length (m) of all types of edges within each  50 x 50 m grid cell. BUILDING, BADGER, and EDGE indicate the standardised z-score values of d2build,  d2badger, and edge_length, respectively. SOIL: Soil types (categorical: type 0, low permeability, and type 1, high permeability). LANDUSE: Land use (categorical: 0, arable; 1, amenity; 2, pasture).",,,,,,,,,
X,Y,d2build,d2badger,edge_length,BUILDING,BADGER,EDGE,SOIL,LANDUSE
470.2509048,353.0890519,320.364162,296.380763,34.631312,0.025651155,-1.060359469,0.608376384,0,Arable
470.3009048,353.0890519,368.689829,303.20331,26.611742,0.223927843,-1.03512488,0.274533421,0,Arable
470.3509048,353.0890519,417.410091,317.841058,0,0.423823522,-0.980984168,-0.833274126,0,Arable
470.4009048,353.0890519,466.401306,339.283994,0.218464,0.624830901,-0.901673074,-0.824179769,0,Arable
470.4509048,353.0890519,515.586242,366.339077,22.806026,0.826633101,-0.801604303,0.116107076,0,Arable
470.5009048,353.0890519,564.9143,397.863055,4.798549,1.029022525,-0.685006407,-0.633517623,0,Pasture
470.5509048,353.0890519,614.351008,432.880701,43.523699,1.231857728,-0.555486465,0.978553355,0,Pasture
470.6009048,353.0890519,663.872093,470.612783,33.587448,1.435039123,-0.415926624,0.564921796,0,Pasture
470.6509048,353.0890519,701.183283,510.457719,58.066849,1.588124213,-0.26855196,1.583963156,0,Amenity
470.7009048,353.0890519,737.234452,551.958126,24.740864,1.73603953,-0.115054197,0.196651578,0,Amenity
470.7509048,353.0890519,774.836292,594.767571,30.325806,1.890317133,0.043285312,0.429144472,0,Pasture
470.8009048,353.0890519,813.773876,638.622858,28.29089,2.050075197,0.205493082,0.344433904,0,Pasture
470.8509048,353.0890519,853.864487,683.322651,23.455046,2.214564049,0.37082443,0.143124849,0,Arable
470.9009048,353.0890519,882.142291,728.711559,0,2.330585814,0.538704611,-0.833274126,0,Arable
469.1009048,353.0390519,534.451665,450.898119,25.735632,0.904036556,-0.488845351,0.238062277,0,Arable
469.1509048,353.0390519,484.559598,400.998422,0.571657,0.699333047,-0.67340961,-0.809476912,0,Arable
469.2009048,353.0390519,434.692335,351.127264,20.889545,0.494731305,-0.857868312,0.036326811,0,Arable
469.2509048,353.0390519,384.859517,301.298816,0,0.29027089,-1.042169042,-0.833274126,0,Arable
469.3009048,353.0390519,335.076513,251.538461,0,0.086014859,-1.226217916,-0.833274126,0,Arable
469.3509048,353.0390519,285.369394,201.896554,0,-0.11792982,-1.409828686,-0.833274126,0,Arable
469.4009048,353.0390519,235.78616,152.488817,0.98714,-0.321366213,-1.59257333,-0.792180896,0,Arable
469.4509048,353.0390519,186.425682,103.650665,24.483642,-0.523888651,-1.773211248,0.185943738,0,Arable
469.5009048,353.0390519,137.513796,56.868984,47.977056,-0.724570547,-1.946242885,1.163939953,0,Arable
