grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9
461,469.3009048,351.7890519,0,0,0,0,0,0,0,0,0
462,469.3509048,351.7890519,0,0,0,0,0,0,0,0,0
463,469.4009048,351.7890519,0,0,0,0,0,0,0,0,0
464,469.4509048,351.7890519,0,0,0,0,0,0,0,0,0
465,469.5009048,351.7890519,0,0,0,0,0,0,0,0,0
466,469.5509048,351.7890519,0,0,0,0,0,0,0,0,0
467,469.6009048,351.7890519,0,0,0,0,0,0,0,0,0
468,469.6509048,351.7890519,0,0,0,0,0,0,0,0,0
469,469.7009048,351.7890519,0,0,0,0,0,0,0,0,0
470,469.7509048,351.7890519,0,0,0,0,0,0,0,0,0
471,469.8009048,351.7890519,0,0,0,0,0,0,0,0,0
472,469.8509048,351.7890519,0,0,0,0,0,0,0,0,0
473,469.9009048,351.7890519,0,0,0,0,0,0,0,0,0
474,469.9509048,351.7890519,0,0,0,0,0,0,0,0,0
475,470.0009048,351.7890519,0,0,0,0,0,0,0,0,0
476,470.0509048,351.7890519,1,1,1,1,1,1,1,1,1
477,470.1009048,351.7890519,1,1,1,1,1,1,1,1,1
478,470.1509048,351.7890519,1,1,1,1,1,1,1,1,1
479,470.2009048,351.7890519,0,0,0,0,0,0,0,0,0
480,470.2509048,351.7890519,0,0,0,0,0,0,0,0,0
481,470.3009048,351.7890519,0,0,0,0,0,0,0,0,0
482,470.3509048,351.7890519,0,0,0,0,0,0,0,0,0
483,470.4009048,351.7890519,0,0,0,0,0,0,0,0,0
484,470.4509048,351.7890519,0,0,0,0,0,0,0,0,0
485,470.5009048,351.7890519,0,0,0,0,0,0,0,0,0
497,469.2009048,351.8390519,0,0,0,0,0,0,0,0,0
498,469.2509048,351.8390519,0,0,0,0,0,0,0,0,0
499,469.3009048,351.8390519,0,0,0,0,0,0,0,0,0
500,469.3509048,351.8390519,0,0,0,0,0,0,0,0,0
501,469.4009048,351.8390519,0,0,0,0,0,0,0,0,0
502,469.4509048,351.8390519,0,0,0,0,0,0,0,0,0
503,469.5009048,351.8390519,0,0,0,0,0,0,0,0,0
504,469.5509048,351.8390519,0,0,0,0,0,0,0,0,0
505,469.6009048,351.8390519,0,0,0,0,0,0,0,0,0
506,469.6509048,351.8390519,0,0,0,0,0,0,0,0,0
507,469.7009048,351.8390519,0,0,0,0,0,0,0,0,0
508,469.7509048,351.8390519,0,0,0,0,0,0,0,0,0
509,469.8009048,351.8390519,0,0,0,0,0,0,0,0,0
510,469.8509048,351.8390519,0,0,0,0,0,0,0,0,0
511,469.9009048,351.8390519,0,0,0,0,0,0,0,0,0
512,469.9509048,351.8390519,0,0,0,0,0,0,0,0,0
513,470.0009048,351.8390519,1,1,1,1,1,1,1,1,1
514,470.0509048,351.8390519,1,1,1,1,1,1,1,1,1
515,470.1009048,351.8390519,1,1,1,1,1,1,1,1,1
516,470.1509048,351.8390519,1,1,1,1,1,1,1,1,1
517,470.2009048,351.8390519,0,0,0,0,0,0,0,0,0
518,470.2509048,351.8390519,0,0,0,0,0,0,0,0,0
519,470.3009048,351.8390519,0,0,0,0,0,0,0,0,0
520,470.3509048,351.8390519,0,0,0,0,0,0,0,0,0
521,470.4009048,351.8390519,0,0,0,0,0,0,0,0,0
522,470.4509048,351.8390519,1,1,1,1,1,1,1,1,1
523,470.5009048,351.8390519,1,1,1,1,1,1,1,1,1
535,469.2009048,351.8890519,0,0,0,0,0,0,0,0,0
536,469.2509048,351.8890519,0,0,0,0,0,0,0,0,0
537,469.3009048,351.8890519,0,0,0,0,0,0,0,0,0
538,469.3509048,351.8890519,0,0,0,0,0,0,0,0,0
539,469.4009048,351.8890519,0,0,0,0,0,0,0,0,0
540,469.4509048,351.8890519,0,0,0,0,0,0,0,0,0
541,469.5009048,351.8890519,0,0,0,0,0,0,0,0,0
542,469.5509048,351.8890519,0,0,0,0,0,0,0,0,0
543,469.6009048,351.8890519,0,0,0,0,0,0,0,0,0
544,469.6509048,351.8890519,0,0,0,0,0,0,0,0,0
545,469.7009048,351.8890519,0,0,0,0,0,0,0,0,0
546,469.7509048,351.8890519,0,0,0,0,0,0,0,0,0
547,469.8009048,351.8890519,0,0,0,0,0,0,0,0,0
548,469.8509048,351.8890519,0,0,0,0,0,0,0,0,0
549,469.9009048,351.8890519,0,0,0,0,0,0,0,0,0
550,469.9509048,351.8890519,1,1,1,1,1,1,1,1,1
551,470.0009048,351.8890519,1,1,1,1,1,1,1,1,1
552,470.0509048,351.8890519,1,1,1,1,1,1,1,1,1
553,470.1009048,351.8890519,1,1,1,1,1,1,1,1,1
554,470.1509048,351.8890519,1,1,1,1,1,1,1,1,1
555,470.2009048,351.8890519,0,0,0,0,0,0,0,0,0
556,470.2509048,351.8890519,0,0,0,0,0,0,0,0,0
557,470.3009048,351.8890519,1,1,1,1,1,1,1,1,1
558,470.3509048,351.8890519,1,1,1,1,1,1,1,1,1
559,470.4009048,351.8890519,1,1,1,1,1,1,1,1,1
560,470.4509048,351.8890519,1,1,1,1,1,1,1,1,1
561,470.5009048,351.8890519,1,1,1,1,1,1,1,1,1
562,470.5509048,351.8890519,1,1,1,1,1,1,1,1,1
574,469.2509048,351.9390519,0,0,0,0,0,0,0,0,0
575,469.3009048,351.9390519,0,0,0,0,0,0,0,0,0
576,469.3509048,351.9390519,0,0,0,0,0,0,0,0,0
577,469.4009048,351.9390519,0,0,0,0,0,0,0,0,0
578,469.4509048,351.9390519,0,0,0,0,0,0,0,0,0
579,469.5009048,351.9390519,0,0,0,0,0,0,0,0,0
580,469.5509048,351.9390519,0,0,0,0,0,0,0,0,0
581,469.6009048,351.9390519,0,0,0,0,0,0,0,0,0
582,469.6509048,351.9390519,0,0,0,0,0,0,0,0,0
583,469.7009048,351.9390519,0,0,0,0,0,0,0,0,0
584,469.7509048,351.9390519,0,0,0,0,0,0,0,0,0
585,469.8009048,351.9390519,0,0,0,0,0,0,0,0,0
586,469.8509048,351.9390519,0,0,0,0,0,0,0,0,0
587,469.9009048,351.9390519,1,1,1,1,1,1,1,1,1
588,469.9509048,351.9390519,1,1,1,1,1,1,1,1,1
589,470.0009048,351.9390519,1,1,1,1,1,1,1,1,1
590,470.0509048,351.9390519,1,1,1,1,1,1,1,1,1
591,470.1009048,351.9390519,1,1,1,1,1,1,1,1,1
592,470.1509048,351.9390519,1,1,1,1,1,1,1,1,1
593,470.2009048,351.9390519,0,0,0,0,0,0,0,0,0
594,470.2509048,351.9390519,0,0,0,0,0,0,0,0,0
595,470.3009048,351.9390519,1,1,1,1,1,1,1,1,1
596,470.3509048,351.9390519,1,1,1,1,1,1,1,1,1
597,470.4009048,351.9390519,1,1,1,1,1,1,1,1,1
598,470.4509048,351.9390519,1,1,1,1,1,1,1,1,1
599,470.5009048,351.9390519,1,1,1,1,1,1,1,1,1
600,470.5509048,351.9390519,0,0,0,0,0,0,0,0,0
601,470.6009048,351.9390519,0,0,0,0,0,0,0,0,0
612,469.2509048,351.9890519,0,0,0,0,0,0,0,0,0
613,469.3009048,351.9890519,0,0,0,0,0,0,0,0,0
614,469.3509048,351.9890519,0,0,0,0,0,0,0,0,0
615,469.4009048,351.9890519,0,0,0,0,0,0,0,0,0
