X,Y,d2build_km,d2badger_km,edge_length_km,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.1509048,353.0390519,0.484559598,0.400998422,0.000571657,0.699333047,-0.924744515,-0.809476912,0,Arable
469.2009048,353.0390519,0.434692335,0.351127264,0.020889545,0.494731305,-1.095069218,0.036326811,0,Arable
469.2509048,353.0390519,0.384859517,0.301298816,0,0.29027089,-1.265248054,-0.833274126,0,Arable
469.3009048,353.0390519,0.335076513,0.251538461,0,0.086014859,-1.435194332,-0.833274126,0,Arable
469.3509048,353.0390519,0.285369394,0.201896554,0,-0.11792982,-1.604736077,-0.833274126,0,Arable
469.4009048,353.0390519,0.23578616,0.152488817,0.00098714,-0.321366213,-1.773478059,-0.792180896,0,Arable
469.4509048,353.0390519,0.186425682,0.103650665,0.024483642,-0.523888651,-1.940274742,0.185943738,0,Arable
469.5009048,353.0390519,0.137513796,0.056868984,0.047977056,-0.724570547,-2.100047971,1.163939953,0,Arable
469.5509048,353.0390519,0.089159695,0.026920296,0.030550547,-0.922963895,-2.202331567,0.438500136,0,Arable
469.6009048,353.0390519,0.044422218,0.056703821,0.077398121,-1.106518499,-2.10061205,2.388695478,0,Arable
469.6509048,353.0390519,0.026365692,0.103469533,0.023367764,-1.180603105,-1.94089336,0.139491454,0,Amenity
469.7009048,353.0390519,0.036634489,0.152304187,0.043614384,-1.138470983,-1.774108625,0.982328296,0,Amenity
469.7509048,353.0390519,0.05474717,0.20171065,0.068678245,-1.064155974,-1.605370992,2.025699854,0,Arable
469.8009048,353.0390519,0.038658339,0.251351959,0.053136177,-1.130167274,-1.435831291,1.378706574,0,Arable
469.8509048,353.0390519,0.067376127,0.301111986,0.007058776,-1.012340283,-1.265886132,-0.539427698,0,Pasture
469.9009048,353.0390519,0.039234771,0.350940236,0.011229928,-1.127802212,-1.095707973,-0.365788788,0,Pasture
469.9509048,353.0390519,0.028578319,0.400811265,0.011494977,-1.171524859,-0.92538371,-0.354755163,0,Pasture
470.0009048,353.0390519,0.068099533,0.417712175,0.023178527,-1.009372202,-0.867662121,0.131613761,0,Pasture
470.0509048,353.0390519,0.114539954,0.391885381,0.021955183,-0.818830544,-0.955868234,0.080687761,0,Arable
470.1009048,353.0390519,0.162537366,0.371032132,0.021671588,-0.621900668,-1.027088227,0.068882085,0,Arable
470.1509048,353.0390519,0.211464866,0.356027434,0,-0.421154707,-1.078333693,-0.833274126,0,Arable
470.2009048,353.0390519,0.260799508,0.347629436,0.000166292,-0.218738269,-1.107015332,-0.826351643,0,Arable
470.2509048,353.0390519,0.310347189,0.346319095,0.040945809,-0.015447751,-1.111490533,0.871239603,0,Arable
470.3009048,353.0390519,0.360019961,0.352175533,0.025814561,0.188356004,-1.09148907,0.241347998,0,Arable
470.3509048,353.0390519,0.409772335,0.364853802,0,0.392486363,-1.048189045,-0.833274126,0,Arable
470.4009048,353.0390519,0.459578459,0.383678234,0.009560606,0.596837258,-0.98389806,-0.435280174,0,Arable
470.4509048,353.0390519,0.50942257,0.407798576,0.05314412,0.801344004,-0.901519985,1.379037261,0,Arable
470.5009048,353.0390519,0.55929451,0.436337449,0.021478461,1.005964934,-0.804051323,0.06084251,0,Arable
470.5509048,353.0390519,0.596355662,0.468488057,0.00036668,1.158024137,-0.694247518,-0.818009794,0,Arable
470.6009048,353.0390519,0.630473407,0.503559084,0,1.298006755,-0.574469627,-0.833274126,0,Arable
470.6509048,353.0390519,0.666598349,0.540982848,0.053467028,1.446224754,-0.446656443,1.39247942,0,Arable
470.7009048,353.0390519,0.704421749,0.580304344,0.011414298,1.601411403,-0.312361942,-0.358113736,0,Pasture
470.7509048,353.0390519,0.743684504,0.621163282,0.031610105,1.762503622,-0.172816628,0.482607991,0,Pasture
470.8009048,353.0390519,0.784170443,0.663275594,0.002608754,1.928614473,-0.028990671,-0.724675536,0,Arable
470.8509048,353.0390519,0.824836234,0.70641716,0.010202406,2.095463246,0.118350493,-0.408563018,0,Arable
470.9009048,353.0390519,0.833030386,0.750410485,0.011002971,2.129083254,0.268600661,-0.37523666,0,Arable
469.1009048,352.9890519,0.533602684,0.456619236,0.016464543,0.900553249,-0.734783042,-0.147879496,0,Arable
469.1509048,352.9890519,0.483604259,0.407420848,0.00577972,0.69541336,-0.902810036,-0.592672884,0,Arable
469.2009048,352.9890519,0.433606197,0.358444373,0.02065894,0.490274961,-1.070079133,0.026727127,0,Arable
469.2509048,352.9890519,0.38360864,0.309795077,0,0.285138635,-1.236230819,-0.833274126,0,Arable
469.3009048,352.9890519,0.333611816,0.261655519,0.005970734,0.080005314,-1.400641597,-0.584721267,0,Arable
469.3509048,352.9890519,0.283616111,0.214369381,0.022415346,-0.125123413,-1.562137694,0.099843644,0,Arable
469.4009048,352.9890519,0.233622245,0.168656019,0.038477976,-0.330244597,-1.718262301,0.768507302,0,Arable
469.4509048,352.9890519,0.183631719,0.126235786,0.029470889,-0.535352076,-1.863139898,0.393555492,0,Arable
469.5009048,352.9890519,0.133648281,0.091793761,0.002061303,-0.740430474,-1.980769563,-0.747465134,0,Arable
469.5509048,352.9890519,0.083684633,0.07692019,0,-0.945427674,-2.031567193,-0.833274126,0,Arable
469.6009048,352.9890519,0.033828577,0.09169153,0.074860618,-1.149983432,-1.981118714,2.283063173,0,Arable
469.6509048,352.9890519,0.006635462,0.126087103,0.054940902,-1.261554799,-1.863647693,1.453834653,0,Amenity
469.7009048,352.9890519,0.00466103,0.168489105,0.04005916,-1.26965575,-1.718832359,0.834329724,0,Arable
469.7509048,352.9890519,0.008708421,0.214194303,0.028037256,-1.253049599,-1.562735636,0.333875477,0,Arable
469.8009048,352.9890519,0.006666786,0.261476233,0.045704652,-1.261426278,-1.40125391,1.06934309,0,Arable
469.8509048,352.9890519,0.05228102,0.309613374,0.065480813,-1.074274406,-1.236851386,1.89259541,0,Arable
469.9009048,352.9890519,0.004698326,0.358261165,0.058384504,-1.269502725,-1.070704842,1.597186804,0,Pasture
469.9509048,352.9890519,0.014268656,0.407236643,0.011156331,-1.230236362,-0.90343915,-0.368852526,0,Arable
470.0009048,352.9890519,0.059182672,0.456434338,0,-1.045957431,-0.735414524,-0.833274126,0,Arable
470.0509048,352.9890519,0.10863509,0.436657201,0,-0.843057769,-0.802959275,-0.833274126,0,Arable
470.1009048,352.9890519,0.158431616,0.418043301,0.022506122,-0.638746258,-0.866531228,0.103622504,0,Arable
470.1509048,352.9890519,0.208325637,0.404784996,0,-0.434034731,-0.91181225,-0.833274126,0,Arable
470.2009048,352.9890519,0.258260654,0.39741865,0.02212863,-0.229155003,-0.936970491,0.087908097,0,Arable
470.2509048,352.9890519,0.308216741,0.396272979,0.001538443,-0.024188824,-0.940883294,-0.769231021,0,Arable
470.3009048,352.9890519,0.358185083,0.401401252,0.037929408,0.180827636,-0.923368732,0.745671272,0,Arable
470.3509048,352.9890519,0.408161179,0.412569577,0.041953817,0.385875909,-0.885225611,0.913201451,0,Arable
470.4009048,352.9890519,0.458142491,0.429306821,0.012154908,0.590945584,-0.828062989,-0.327283204,0,Arable
470.4509048,352.9890519,0.494592919,0.450993389,0.027058408,0.74049903,-0.753996966,0.293127507,0,Arable
470.5009048,352.9890519,0.525812511,0.476954639,0.009450547,0.868590738,-0.665331646,-0.439861745,0,Arable
470.5509048,352.9890519,0.559763734,0.506533729,0,1.007890129,-0.564310336,-0.833274126,0,Arable
470.6009048,352.9890519,0.595979933,0.539135521,0.011934863,1.156482546,-0.45296561,-0.336443365,0,Arable
470.6509048,352.9890519,0.63407312,0.574245418,0.027153786,1.312776113,-0.333054961,0.297097981,0,Pasture
470.7009048,352.9890519,0.673724991,0.61143151,0.028906288,1.475464844,-0.206053499,0.37005204,0,Pasture
470.7509048,352.9890519,0.714676154,0.650337744,0.03904283,1.643484477,-0.07317724,0.792021394,0,Pasture
470.8009048,352.9890519,0.756715697,0.690673492,0.005669896,1.815969655,0.064581226,-0.59724474,0,Arable
470.8509048,352.9890519,0.775318913,0.732202543,0,1.892297291,0.206415173,-0.833274126,0,Arable
470.9009048,352.9890519,0.784030757,0.774733021,0.010469995,1.928041351,0.351669293,-0.397423685,0,Arable
469.1009048,352.9390519,0.536316146,0.467646383,0.022364764,0.911686384,-0.697122083,0.097738035,0,Arable
469.1509048,352.9390519,0.486596612,0.419742494,0.047537111,0.707690767,-0.860727986,1.145625591,0,Arable
469.2009048,352.9390519,0.436941092,0.372390094,0.052249823,0.503957792,-1.022450387,1.341808915,0,Arable
469.2509048,352.9390519,0.387374202,0.325829715,0.02622946,0.300588462,-1.181467805,0.258619577,0,Arable
469.3009048,352.9390519,0.337934946,0.2804561,0.016410766,0.0977428,-1.336432073,-0.150118113,0,Arable
469.3509048,352.9390519,0.288688902,0.236951989,0,-0.104310121,-1.485011434,-0.833274126,0,Arable
469.4009048,352.9390519,0.239755161,0.196562626,0.000170369,-0.305081691,-1.622953012,-0.826181948,0,Arable
469.4509048,352.9390519,0.191373436,0.161639992,0.020454835,-0.503588377,-1.742224101,0.018230507,0,Arable
469.5009048,352.9390519,0.144100822,0.136448187,0,-0.697544463,-1.828261536,-0.833274126,0,Arable
469.5509048,352.9390519,0.099530405,0.126920167,0,-0.880413627,-1.860802534,-0.833274126,0,Arable
469.6009048,352.9390519,0.063620409,0.136379433,0.062919103,-1.027749722,-1.828496352,1.785955191,0,Arable
469.6509048,352.9390519,0.052410229,0.161523902,0,-1.073744272,-1.742620581,-0.833274126,0,Arable
469.7009048,352.9390519,0.036422242,0.196419428,0,-1.139341815,-1.623442073,-0.833274126,0,Arable
469.7509048,352.9390519,0.028119793,0.236793608,0.03268747,-1.173406157,-1.48555235,0.527457118,0,Arable
469.8009048,352.9390519,0.048459368,0.28028884,0.004816025,-1.089954367,-1.337003314,-0.632790148,0,Arable
469.8509048,352.9390519,0.030534317,0.325656959,0.055349771,-1.163499542,-1.182057816,1.470855236,0,Arable
469.9009048,352.9390519,0.001782256,0.37221375,0.028292615,-1.281467151,-1.023052652,0.344505727,0,Arable
469.9509048,352.9390519,0.046016893,0.419563698,0,-1.099975661,-0.861338624,-0.833274126,0,Arable
470.0009048,352.9390519,0.084763025,0.467465847,0,-0.941003109,-0.697738669,-0.833274126,0,Arable
470.0509048,352.9390519,0.124433776,0.482457117,0,-0.778236915,-0.646539062,-0.833274126,0,Arable
