grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
330,470.3509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
331,470.4009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
332,470.4509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
333,470.5009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
334,470.5509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
335,470.6009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
336,470.6509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
337,470.7009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
338,470.7509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
339,470.8009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
340,470.8509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
341,470.9009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
348,469.3509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
349,469.4009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
350,469.4509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
351,469.5009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
352,469.5509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
353,469.6009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
354,469.6509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
355,469.7009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
356,469.7509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
357,469.8009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
358,469.8509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
359,469.9009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
360,469.9509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
361,470.0009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
362,470.0509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
363,470.1009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
364,470.1509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
365,470.2009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
